scenario_id,category,classification,rationale,escalation_required,cross_reference
core_18_identity_integrity_choice,dbChoiceId,FORBIDDEN,Lock 5 spec §2 (#7) — DB referential integrity; mutation breaks bty_arena_signals binding,NO,Lock 5 §2
core_18_identity_integrity_choice,next_map,FORBIDDEN,Lock 5 spec §2 (#8) — state-machine graph; mutation breaks scenario rotation chain,NO,Lock 5 §2
core_18_identity_integrity_choice,action_decision text,FORBIDDEN,FORBIDDEN — commitment/avoidance binding (4 commitment / 4 avoidance) ties to is_action_commitment exit gate; semantic mutation breaks state-transition determinism,YES,Lock 5 §2 (#4) + §2.1
core_18_identity_integrity_choice,primary choice text,RISKY,Lock 5 spec §2 (#1) — decision-surface; wording shift can alter user interpretation of pattern direction,NO,Lock 5 §2
core_18_identity_integrity_choice,escalation text,RISKY,RISKY — escalation defines tradeoff framing for Repair axis at stage 9; wording shift alters semantic weight of escalation_text per branch,NO,Lock 5 §2
core_18_identity_integrity_choice,second-choice text,RISKY,Lock 5 spec §2 (#3) — second-choice carries tradeoff resolution semantic,NO,Lock 5 §2
core_18_identity_integrity_choice,bty_tension_axis phrasing,RISKY,Lock 5 spec §2 (#6) — phrasing edit allowed; literal re-tag remains FORBIDDEN per Lock 5 Phase 1 cite,NO,Lock 5 §2
core_18_identity_integrity_choice,propagation text,RISKY,"RISKY — propagation governs identity drift via reExposureNote ('If avoided, the same pattern returns as quiet adaptation, selective silence, or identity drift under...'); mutation can shift re-exposure trigger semantic",NO,Lock 5 §2 (#9) + §6.2.e
core_18_identity_integrity_choice,title-body,CONDITIONAL,Lock 5 spec §2.2 — pressure shift → RISKY; non-pressure clarity edit → SAFE,NO,Lock 5 §2.2
core_19_authority_signal,dbChoiceId,FORBIDDEN,Lock 5 spec §2 (#7) — DB referential integrity; mutation breaks bty_arena_signals binding,NO,Lock 5 §2
core_19_authority_signal,next_map,FORBIDDEN,Lock 5 spec §2 (#8) — state-machine graph; mutation breaks scenario rotation chain,NO,Lock 5 §2
core_19_authority_signal,action_decision text,FORBIDDEN,FORBIDDEN — commitment/avoidance binding (4 commitment / 4 avoidance) ties to is_action_commitment exit gate; semantic mutation breaks state-transition determinism,YES,Lock 5 §2 (#4) + §2.1
core_19_authority_signal,primary choice text,RISKY,Lock 5 spec §2 (#1) — decision-surface; wording shift can alter user interpretation of pattern direction,NO,Lock 5 §2
core_19_authority_signal,escalation text,RISKY,RISKY — escalation defines tradeoff framing for Repair axis at stage 19; wording shift alters semantic weight of escalation_text per branch,NO,Lock 5 §2
core_19_authority_signal,second-choice text,RISKY,Lock 5 spec §2 (#3) — second-choice carries tradeoff resolution semantic,NO,Lock 5 §2
core_19_authority_signal,bty_tension_axis phrasing,RISKY,Lock 5 spec §2 (#6) — phrasing edit allowed; literal re-tag remains FORBIDDEN per Lock 5 Phase 1 cite,NO,Lock 5 §2
core_19_authority_signal,propagation text,RISKY,RISKY — propagation governs identity drift via reExposureNote ('Drift will reveal whether the system survives without constant leadership attention.'); mutation can shift re-exposure trigger semantic,NO,Lock 5 §2 (#9) + §6.2.e
core_19_authority_signal,title-body,CONDITIONAL,Lock 5 spec §2.2 — pressure shift → RISKY; non-pressure clarity edit → SAFE,NO,Lock 5 §2.2
core_20_unquestioned_decision,dbChoiceId,FORBIDDEN,Lock 5 spec §2 (#7) — DB referential integrity; mutation breaks bty_arena_signals binding,NO,Lock 5 §2
core_20_unquestioned_decision,next_map,FORBIDDEN,Lock 5 spec §2 (#8) — state-machine graph; mutation breaks scenario rotation chain,NO,Lock 5 §2
core_20_unquestioned_decision,action_decision text,FORBIDDEN,FORBIDDEN — commitment/avoidance binding (4 commitment / 4 avoidance) ties to is_action_commitment exit gate; semantic mutation breaks state-transition determinism,YES,Lock 5 §2 (#4) + §2.1
core_20_unquestioned_decision,primary choice text,RISKY,Lock 5 spec §2 (#1) — decision-surface; wording shift can alter user interpretation of pattern direction,NO,Lock 5 §2
core_20_unquestioned_decision,escalation text,RISKY,RISKY — escalation defines tradeoff framing for Repair axis at stage 20; wording shift alters semantic weight of escalation_text per branch,NO,Lock 5 §2
core_20_unquestioned_decision,second-choice text,RISKY,Lock 5 spec §2 (#3) — second-choice carries tradeoff resolution semantic,NO,Lock 5 §2
core_20_unquestioned_decision,bty_tension_axis phrasing,RISKY,Lock 5 spec §2 (#6) — phrasing edit allowed; literal re-tag remains FORBIDDEN per Lock 5 Phase 1 cite,NO,Lock 5 §2
core_20_unquestioned_decision,propagation text,RISKY,"RISKY — propagation governs identity drift via reExposureNote ('Inheritance reveals whether integrity is a person, a policy, or an operating system.'); mutation can shift re-exposure trigger semantic",NO,Lock 5 §2 (#9) + §6.2.e
core_20_unquestioned_decision,title-body,CONDITIONAL,Lock 5 spec §2.2 — pressure shift → RISKY; non-pressure clarity edit → SAFE,NO,Lock 5 §2.2
core_21_silence_under_hierarchy,dbChoiceId,FORBIDDEN,Lock 5 spec §2 (#7) — DB referential integrity; mutation breaks bty_arena_signals binding,NO,Lock 5 §2
core_21_silence_under_hierarchy,next_map,FORBIDDEN,Lock 5 spec §2 (#8) — state-machine graph; mutation breaks scenario rotation chain,NO,Lock 5 §2
core_21_silence_under_hierarchy,action_decision text,FORBIDDEN,FORBIDDEN — commitment/avoidance binding (4 commitment / 4 avoidance) ties to is_action_commitment exit gate; semantic mutation breaks state-transition determinism,YES,Lock 5 §2 (#4) + §2.1
core_21_silence_under_hierarchy,primary choice text,RISKY,Lock 5 spec §2 (#1) — decision-surface; wording shift can alter user interpretation of pattern direction,NO,Lock 5 §2
core_21_silence_under_hierarchy,escalation text,RISKY,RISKY — escalation defines tradeoff framing for Repair axis at stage 21; wording shift alters semantic weight of escalation_text per branch,NO,Lock 5 §2
core_21_silence_under_hierarchy,second-choice text,RISKY,Lock 5 spec §2 (#3) — second-choice carries tradeoff resolution semantic,NO,Lock 5 §2
core_21_silence_under_hierarchy,bty_tension_axis phrasing,RISKY,Lock 5 spec §2 (#6) — phrasing edit allowed; literal re-tag remains FORBIDDEN per Lock 5 Phase 1 cite,NO,Lock 5 §2
core_21_silence_under_hierarchy,propagation text,RISKY,RISKY — propagation governs identity drift via reExposureNote ('Correction reveals whether the system can evolve without becoming personal again.'); mutation can shift re-exposure trigger semantic,NO,Lock 5 §2 (#9) + §6.2.e
core_21_silence_under_hierarchy,title-body,CONDITIONAL,Lock 5 spec §2.2 — pressure shift → RISKY; non-pressure clarity edit → SAFE,NO,Lock 5 §2.2
core_22_assistant_truth_block,dbChoiceId,FORBIDDEN,Lock 5 spec §2 (#7) — DB referential integrity; mutation breaks bty_arena_signals binding,NO,Lock 5 §2
core_22_assistant_truth_block,next_map,FORBIDDEN,Lock 5 spec §2 (#8) — state-machine graph; mutation breaks scenario rotation chain,NO,Lock 5 §2
core_22_assistant_truth_block,action_decision text,FORBIDDEN,FORBIDDEN — commitment/avoidance binding (4 commitment / 4 avoidance) ties to is_action_commitment exit gate; semantic mutation breaks state-transition determinism,YES,Lock 5 §2 (#4) + §2.1
core_22_assistant_truth_block,primary choice text,RISKY,Lock 5 spec §2 (#1) — decision-surface; wording shift can alter user interpretation of pattern direction,NO,Lock 5 §2
core_22_assistant_truth_block,escalation text,RISKY,RISKY — escalation defines tradeoff framing for Repair axis at stage 22; wording shift alters semantic weight of escalation_text per branch,NO,Lock 5 §2
core_22_assistant_truth_block,second-choice text,RISKY,Lock 5 spec §2 (#3) — second-choice carries tradeoff resolution semantic,NO,Lock 5 §2
core_22_assistant_truth_block,bty_tension_axis phrasing,RISKY,Lock 5 spec §2 (#6) — phrasing edit allowed; literal re-tag remains FORBIDDEN per Lock 5 Phase 1 cite,NO,Lock 5 §2
core_22_assistant_truth_block,propagation text,RISKY,RISKY — propagation governs identity drift via reExposureNote ('Growth continuously tests whether standards are preserved or negotiated.'); mutation can shift re-exposure trigger semantic,NO,Lock 5 §2 (#9) + §6.2.e
core_22_assistant_truth_block,title-body,CONDITIONAL,Lock 5 spec §2.2 — pressure shift → RISKY; non-pressure clarity edit → SAFE,NO,Lock 5 §2.2
core_23_manager_truth_block,dbChoiceId,FORBIDDEN,Lock 5 spec §2 (#7) — DB referential integrity; mutation breaks bty_arena_signals binding,NO,Lock 5 §2
core_23_manager_truth_block,next_map,FORBIDDEN,Lock 5 spec §2 (#8) — state-machine graph; mutation breaks scenario rotation chain,NO,Lock 5 §2
core_23_manager_truth_block,action_decision text,FORBIDDEN,FORBIDDEN — commitment/avoidance binding (4 commitment / 4 avoidance) ties to is_action_commitment exit gate; semantic mutation breaks state-transition determinism,YES,Lock 5 §2 (#4) + §2.1
core_23_manager_truth_block,primary choice text,RISKY,Lock 5 spec §2 (#1) — decision-surface; wording shift can alter user interpretation of pattern direction,NO,Lock 5 §2
core_23_manager_truth_block,escalation text,RISKY,RISKY — escalation defines tradeoff framing for Truth axis at stage 5; wording shift alters semantic weight of escalation_text per branch,NO,Lock 5 §2
core_23_manager_truth_block,second-choice text,RISKY,Lock 5 spec §2 (#3) — second-choice carries tradeoff resolution semantic,NO,Lock 5 §2
core_23_manager_truth_block,bty_tension_axis phrasing,RISKY,Lock 5 spec §2 (#6) — phrasing edit allowed; literal re-tag remains FORBIDDEN per Lock 5 Phase 1 cite,NO,Lock 5 §2
core_23_manager_truth_block,propagation text,RISKY,"RISKY — propagation governs identity drift via reExposureNote ('If the user exits here, the next scenario should expose the same silence through patient flow, staff...'); mutation can shift re-exposure trigger semantic",NO,Lock 5 §2 (#9) + §6.2.e
core_23_manager_truth_block,title-body,CONDITIONAL,Lock 5 spec §2.2 — pressure shift → RISKY; non-pressure clarity edit → SAFE,NO,Lock 5 §2.2
core_24_external_truth_exposure,dbChoiceId,FORBIDDEN,Lock 5 spec §2 (#7) — DB referential integrity; mutation breaks bty_arena_signals binding,NO,Lock 5 §2
core_24_external_truth_exposure,next_map,FORBIDDEN,Lock 5 spec §2 (#8) — state-machine graph; mutation breaks scenario rotation chain,NO,Lock 5 §2
core_24_external_truth_exposure,action_decision text,FORBIDDEN,FORBIDDEN — commitment/avoidance binding (4 commitment / 4 avoidance) ties to is_action_commitment exit gate; semantic mutation breaks state-transition determinism,YES,Lock 5 §2 (#4) + §2.1
core_24_external_truth_exposure,primary choice text,RISKY,Lock 5 spec §2 (#1) — decision-surface; wording shift can alter user interpretation of pattern direction,NO,Lock 5 §2
core_24_external_truth_exposure,escalation text,RISKY,RISKY — escalation defines tradeoff framing for Truth axis at stage 6; wording shift alters semantic weight of escalation_text per branch,NO,Lock 5 §2
core_24_external_truth_exposure,second-choice text,RISKY,Lock 5 spec §2 (#3) — second-choice carries tradeoff resolution semantic,NO,Lock 5 §2
core_24_external_truth_exposure,bty_tension_axis phrasing,RISKY,Lock 5 spec §2 (#6) — phrasing edit allowed; literal re-tag remains FORBIDDEN per Lock 5 Phase 1 cite,NO,Lock 5 §2
core_24_external_truth_exposure,propagation text,RISKY,"RISKY — propagation governs identity drift via reExposureNote ('If the user exits here, the same pattern reappears as repeated complaints or audit findings.'); mutation can shift re-exposure trigger semantic",NO,Lock 5 §2 (#9) + §6.2.e
core_24_external_truth_exposure,title-body,CONDITIONAL,Lock 5 spec §2.2 — pressure shift → RISKY; non-pressure clarity edit → SAFE,NO,Lock 5 §2.2
core_25_forced_repair_conversation,dbChoiceId,FORBIDDEN,Lock 5 spec §2 (#7) — DB referential integrity; mutation breaks bty_arena_signals binding,NO,Lock 5 §2
core_25_forced_repair_conversation,next_map,FORBIDDEN,Lock 5 spec §2 (#8) — state-machine graph; mutation breaks scenario rotation chain,NO,Lock 5 §2
core_25_forced_repair_conversation,action_decision text,FORBIDDEN,FORBIDDEN — commitment/avoidance binding (4 commitment / 4 avoidance) ties to is_action_commitment exit gate; semantic mutation breaks state-transition determinism,YES,Lock 5 §2 (#4) + §2.1
core_25_forced_repair_conversation,primary choice text,RISKY,Lock 5 spec §2 (#1) — decision-surface; wording shift can alter user interpretation of pattern direction,NO,Lock 5 §2
core_25_forced_repair_conversation,escalation text,RISKY,RISKY — escalation defines tradeoff framing for Repair axis at stage 7; wording shift alters semantic weight of escalation_text per branch,NO,Lock 5 §2
core_25_forced_repair_conversation,second-choice text,RISKY,Lock 5 spec §2 (#3) — second-choice carries tradeoff resolution semantic,NO,Lock 5 §2
core_25_forced_repair_conversation,bty_tension_axis phrasing,RISKY,Lock 5 spec §2 (#6) — phrasing edit allowed; literal re-tag remains FORBIDDEN per Lock 5 Phase 1 cite,NO,Lock 5 §2
core_25_forced_repair_conversation,propagation text,RISKY,"RISKY — propagation governs identity drift via reExposureNote ('If the user exits here, the same pattern returns as partial compliance, staff withdrawal, or repeate...'); mutation can shift re-exposure trigger semantic",NO,Lock 5 §2 (#9) + §6.2.e
core_25_forced_repair_conversation,title-body,CONDITIONAL,Lock 5 spec §2.2 — pressure shift → RISKY; non-pressure clarity edit → SAFE,NO,Lock 5 §2.2
core_26_doctor_repair_choice,dbChoiceId,FORBIDDEN,Lock 5 spec §2 (#7) — DB referential integrity; mutation breaks bty_arena_signals binding,NO,Lock 5 §2
core_26_doctor_repair_choice,next_map,FORBIDDEN,Lock 5 spec §2 (#8) — state-machine graph; mutation breaks scenario rotation chain,NO,Lock 5 §2
core_26_doctor_repair_choice,action_decision text,FORBIDDEN,FORBIDDEN — commitment/avoidance binding (4 commitment / 4 avoidance) ties to is_action_commitment exit gate; semantic mutation breaks state-transition determinism,YES,Lock 5 §2 (#4) + §2.1
core_26_doctor_repair_choice,primary choice text,RISKY,Lock 5 spec §2 (#1) — decision-surface; wording shift can alter user interpretation of pattern direction,NO,Lock 5 §2
core_26_doctor_repair_choice,escalation text,RISKY,RISKY — escalation defines tradeoff framing for Repair axis at stage 8; wording shift alters semantic weight of escalation_text per branch,NO,Lock 5 §2
core_26_doctor_repair_choice,second-choice text,RISKY,Lock 5 spec §2 (#3) — second-choice carries tradeoff resolution semantic,NO,Lock 5 §2
core_26_doctor_repair_choice,bty_tension_axis phrasing,RISKY,Lock 5 spec §2 (#6) — phrasing edit allowed; literal re-tag remains FORBIDDEN per Lock 5 Phase 1 cite,NO,Lock 5 §2
core_26_doctor_repair_choice,propagation text,RISKY,"RISKY — propagation governs identity drift via reExposureNote ('If the user exits here, the same hesitation and bypass pattern will return under pressure.'); mutation can shift re-exposure trigger semantic",NO,Lock 5 §2 (#9) + §6.2.e
core_26_doctor_repair_choice,title-body,CONDITIONAL,Lock 5 spec §2.2 — pressure shift → RISKY; non-pressure clarity edit → SAFE,NO,Lock 5 §2.2
core_27_identity_repair_commitment,dbChoiceId,FORBIDDEN,Lock 5 spec §2 (#7) — DB referential integrity; mutation breaks bty_arena_signals binding,NO,Lock 5 §2
core_27_identity_repair_commitment,next_map,FORBIDDEN,Lock 5 spec §2 (#8) — state-machine graph; mutation breaks scenario rotation chain,NO,Lock 5 §2
core_27_identity_repair_commitment,action_decision text,FORBIDDEN,FORBIDDEN — commitment/avoidance binding (4 commitment / 4 avoidance) ties to is_action_commitment exit gate; semantic mutation breaks state-transition determinism,YES,Lock 5 §2 (#4) + §2.1
core_27_identity_repair_commitment,primary choice text,RISKY,Lock 5 spec §2 (#1) — decision-surface; wording shift can alter user interpretation of pattern direction,NO,Lock 5 §2
core_27_identity_repair_commitment,escalation text,RISKY,RISKY — escalation defines tradeoff framing for Repair axis at stage 9; wording shift alters semantic weight of escalation_text per branch,NO,Lock 5 §2
core_27_identity_repair_commitment,second-choice text,RISKY,Lock 5 spec §2 (#3) — second-choice carries tradeoff resolution semantic,NO,Lock 5 §2
core_27_identity_repair_commitment,bty_tension_axis phrasing,RISKY,Lock 5 spec §2 (#6) — phrasing edit allowed; literal re-tag remains FORBIDDEN per Lock 5 Phase 1 cite,NO,Lock 5 §2
core_27_identity_repair_commitment,propagation text,RISKY,"RISKY — propagation governs identity drift via reExposureNote ('If the user exits here, the same authority and hesitation pattern will reappear in the next high-pre...'); mutation can shift re-exposure trigger semantic",NO,Lock 5 §2 (#9) + §6.2.e
core_27_identity_repair_commitment,title-body,CONDITIONAL,Lock 5 spec §2.2 — pressure shift → RISKY; non-pressure clarity edit → SAFE,NO,Lock 5 §2.2
